Genus,3G.01,3G.13,3N.10,3T.08,3T.20,3T.32,3G.02,3G.14,3N.11,3T.09,3T.21,3T.33,3T.44,3G.03,3G.15,3N.12,3T.10,3T.22,3T.34,3G.04,3N.01,3N.13,3T.11,3T.23,3T.35,3G.05,3N.02,3N.14,3T.12,3T.24,3T.36,3G.06,3N.03,3T.01,3T.13,3T.25,3T.37,3G.07,3N.04,3T.02,3T.14,3T.26,3T.38,3G.08,3N.05,3T.03,3T.15,3T.27,3T.39,3G.09,3N.06,3T.04,3T.16,3T.28,3T.40,3G.10,3N.07,3T.05,3T.17,3T.29,3T.41,3G.11,3N.08,3T.06,3T.18,3T.30,3T.42,3G.12,3N.09,3T.07,3T.19,3T.31,3T.43,2G.01,2G.13,2N.10,2T.08,2T.20,2T.32,1G.01,1G.13,1N.10,1T.08,1T.20,1T.32,2G.02,2G.14,2N.11,2T.09,2T.21,2T.33,2T.44,1G.02,1G.14,1N.11,1T.09,1T.21,1T.33,1T.44,2G.03,2G.15,2N.12,2T.10,2T.22,2T.34,1G.03,1G.15,1N.12,1T.10,1T.22,1T.34,2G.04,2N.01,2N.13,2T.11,2T.23,2T.35,1G.04,1N.01,1N.13,1T.11,1T.23,1T.35,2G.05,2N.02,2N.14,2T.12,2T.24,2T.36,1G.05,1N.02,1N.14,1T.12,1T.24,1T.36,2N.03,2T.01,2T.13,2T.25,2T.37,1G.06,1N.03,1T.01,1T.13,1T.25,1T.37,2G.07,2N.04,2T.02,2T.14,2T.26,2T.38,1G.07,1N.04,1T.02,1T.14,1T.26,1T.38,2G.08,2N.05,2T.03,2T.15,2T.27,2T.39,1G.08,1N.05,1T.03,1T.15,1T.27,1T.39,2G.09,2N.06,2T.04,2T.16,2T.28,1G.09,1N.06,1T.04,1T.16,1T.28,1T.40,2G.10,2N.07,2T.05,2T.17,2T.41,1G.10,1N.07,1T.05,1T.17,1T.29,1T.41,2G.11,2N.08,2T.06,2T.18,2T.30,2T.42,1G.11,1N.08,1T.06,1T.18,1T.30,1T.42,2G.12,2N.09,2T.07,2T.19,2T.31,1G.12,1N.09,1T.07,1T.19,1T.31,1T.43
g__Acanthocyclops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.035,0,0,0,0,0,0,0,0,0,0,27.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.239,0,0,0
g__Amphinemura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.315,0,14.993,0,0,0,0,0,0,64.919,0,84.384,0,0,0,141.707,0,0,0,0,0,0,0,0,0,0,47.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.143,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.318,0,0,7.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.793,0,0,9.863,0,149.689,56.749,0,0,0,0,0,0,0,0,0,182.557,0,0,39.53,0,24.011,0,33.213,0,10.25,0,19.303,43.023,0,0,0,0,21.154,0,0,0,0,0,0,86.662,14.122,0,0,0,0,0,0,0,0,27.326,59.592,0,0,0,0,0,26.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.432,0,0,0,0,0,0,0,0,0,45.819,0,0
g__Anopheles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Antocha,1.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,50.424,0,0,0,0,0,0,0,0,0,0,0,0,23.677,0,0,0,0.384,3.794,0,0,0,0,22.079,0,4.168,0,0,0,0,0,3.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.198,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,3.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.697,0,0,0,0,16.238,0,0,25.944,0,0,4.941,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,114.032,0,0,0,0,0,16.549,0,0,0,0,0,0,0,0,0,36.057,0,6.235,0,0,0,17.953,0,0,0,0,0,0,32.411,0,0,0,0,0,0,0,0,73.88,86.962,97.149,0,0,0,0,0,0,0,0,0,0,0,16.563,121.058,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Asellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Baetis,24.156,162.79,73.546,241.102,69.284,8.606,7.863,0,66.003,1748.995,0,59.794,0,135.021,385.521,8.113,121.514,0,0,186.81,357.04,36.461,45.128,62.688,278.661,24.363,6.424,164.315,4104.273,83.993,1.079,0,0,0,6.731,0,3.919,335.827,106.384,37.677,240.005,0,61.707,0,14.794,31.307,6.136,4.056,0,1821.079,48.001,0,5536.088,133.234,0,6034.833,0,0,0,0,193.738,54.321,9.784,142.411,0,20.171,0,286.183,58.196,0,5.043,0,0,0,155.198,324.691,0,196.511,51.205,35.985,2991.049,118.034,25.2,348.035,136.415,0,39.395,357.143,25.851,0,32.572,0,80.353,1.182,15.125,207.514,0,0,0,637.573,101.697,392.845,34636.586,48.77,59.136,60.489,482.066,493.944,0,45.162,0,152.684,0,345.671,0,311.813,361.644,4760.238,1.665,624.787,22.944,56.905,27.305,0,0,274.162,0,0,46.793,125.298,0.163,0,0,188.689,1.749,0,0,178.794,57.198,16.486,831.4,6.052,3.136,277.867,87.557,0,124.928,111.53,44.032,179.011,135.153,356.213,4952.507,113.25,59.549,192.303,81.023,0,0,106.592,0,2.154,5.848,415.984,17.057,7.47,1.235,1699.104,28.662,22.122,20.953,0,0,0,67.874,805.814,235.29,26.411,1157.326,32.592,18.003,0,2454.895,0,0,1256.908,480.88,39.962,21.149,0,0,21000.311,0,0,12.911,0,46.408,13672.954,1347.495,5.07,64.563,0,0,0,0,120.015,0,0,1876.696,699.009,65,3.239,65.819,9.076,321.842
g__Barbatula,8.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833,5.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.709,0,0,0,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.239,0,0,0
g__Barbus,1567.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.04,0,275.128,0,0,208.363,169.424,0,0,0,0,0,0,97.727,0,0,0,0,0,0,0,0,0,0,135.794,224.307,0,0,0,0,0,1504.168,0,0,0,0,0,2334.833,301.721,0,0,0,0,0,0,0,0,0,0,141.569,262.043,0,0,577.256,0,0,0,0,0,381.985,0,0,0,0,0,0,0,0,0,482.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.697,0,441.156,0,0,0,210.665,0,180.944,0,0,2.941,857.7,0,0,0,0,86.298,25.163,0,0,0,0,0,202.709,0,0,0,0,0,179.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,266.592,255.866,0,0,0,2.057,77.47,533.235,0,0,0,0,0,267.937,0,0,0,0,673.411,0,0,0,0,0,1696.349,377.528,0,0,0,38.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.093,706.897,0,0,0,49.239,0,0,0
g__Caenis,0,0,0,0,0,0,0,0,0,0,0,11.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.143,0,0,372.572,0,0,0,0,0,0,0,0,0,0,0,0,0,19.136,0,0,0,0,0,0,0,0,0,0,0,92.644,0,0,0,0,0,0,8.941,0,30.162,0,0,19.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.408,0,0,0,0,0,0,0,0,0,0,0,89.696,0,0,0,0,0,0
g__Capnioneura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.863,0,0,0,0,0,0,0,0,0,0,0,0,0,110.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
