Site_id,X,Y
G.01,729190.24,256973.3
G.02,728770,257003.3
G.03,726652.54,254339.58
G.04,726967.04,254300
G.05,731060,254893.3
G.06,730420.09,252788.6
G.07,732475.62,251792.6
G.08,732984.21,252990.7
G.09,733908.9162,251690.0865
G.10,738084.29,253715.31
G.11,737292.1102,251373.6583
G.12,735451.78,246932.82
G.13,738504.29,249905.32
G.14,739346.8,248222.83
G.15,737862.78,247012.82
N.01,724158,250484.6
N.02,727113.6,248380.6
N.03,731368.746,247000
N.04,731246.9,246909.3592
N.05,727684.9261,246451.1041
N.06,729614.9,243098.39
N.07,729616.7,243070.19
N.08,731124.8,242187.79
N.09,731778.8,241868.79
N.10,735241.1,243611.62
N.11,732360.8,240136.78
N.12,732120.1,240188.58
N.13,735010.3,240595.31
N.14,732623,238618.96
T.01,733030,259717.8
T.02,733069.55,258688.6
T.03,732418.54,259212.1
T.04,729359.04,257492.6
T.05,727092.52,257760
T.06,725550.5,258419.12
T.07,725010,258000
T.08,720850,256904.59
T.09,720400,256349
T.10,720619.73,253765.78
T.11,723582.72,252171.77
T.12,720952.7,248206.7
T.13,718933.7,247850.7
T.14,733487.625,237763.2969
T.15,718049.5,245610
T.16,717997.7,245343.7
T.17,724167.9,248449.1
T.18,723246.7,248384.8
T.19,724323.7,245577.8
T.20,723734.7,245167.8
T.21,724155.4,243786.44
T.22,727072.9,240869.05
T.23,725100,238548.73
T.24,721568.5,236093.03
T.25,721929.5,235849.53
T.26,725486.5,238805.53
T.27,727270.2,234077.23
T.28,728029.5,235172.05
T.29,728917.9317,231182.6652
T.30,728712.9,230925.64
T.31,728357.146,235434.5349
T.32,732505.82,232924.32
T.33,732300,232837.52
T.34,736051.51,234178.01
T.35,733246.2,231807.21
T.36,732596.75,228625.73
T.37,732747.85,228462.33
T.38,737510,227750
T.39,737700,227800
T.40,741270.87,229007.59
T.41,741279.87,228820
T.42,726760.23,252157.26
T.43,721137.9,241738.96
T.44,740356.87,235213.73
H2303,723675,252720
H2374,727110,247290
H2414,718840,248440
H2305,737270,251290
